"Air Quality Statistics by City, 2023",,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  PM2.5 summary statistics are based on AQS data as of August 12, 2024.  All other pollutant summary statistics as of May 7, 2024.",,,,,,,,,,,
Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
"Eau Claire, WI",161151,20740,ND,ND,ND,ND,0.074,96,9.4,39,ND
"Effingham, IL",34242,20820,ND,ND,ND,ND,0.078,ND,ND,ND,ND
"El Centro, CA",174528,20940,2,ND,9,55,0.081,523,9.5,30,5
"El Dorado, AR",41639,20980,ND,ND,ND,ND,ND,ND,9.8,20,ND
"Elizabeth City, NC",64094,21020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Elizabethtown-Fort Knox, KY",148338,21060,ND,ND,ND,ND,0.07,ND,8.6,29,ND
"Elkhart-Goshen, IN",197559,21140,ND,ND,ND,ND,0.071,ND,9.4,30,ND
"Elko, NV",50805,21220,ND,ND,ND,ND,0.052,48,ND,ND,ND
"Ellensburg, WA",40915,21260,ND,ND,ND,ND,ND,ND,6.5,18,ND
"El Paso, TX",804123,21340,2,ND,15,57,0.074,180,8.6,23,6
"Enid, OK",60580,21420,ND,ND,ND,ND,ND,ND,IN,IN,37
"Erie, PA",280566,21500,1,ND,5,32,0.068,72,8.5,33,ND
"Española, NM",40246,21580,ND,ND,ND,ND,0.06,ND,ND,ND,ND
"Eugene, OR",351715,21660,ND,ND,ND,ND,0.06,118,10.1,46,ND
"Eureka-Arcata-Fortuna, CA",134623,21700,IN,ND,2,14,0.047,44,7,148,1
"Evanston, WY",21118,21740,ND,ND,ND,ND,ND,35,ND,ND,ND
"Evansville, IN-KY",311552,21780,1,ND,3,25,0.075,53,10.1,26,94
"Fairbanks, AK",97581,21820,2,ND,ND,ND,0.05,138,11.7,63,15
"Fairmont, WV",56418,21900,ND,ND,ND,ND,ND,ND,8.3,25,ND
"Fallon, NV",24877,21980,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Fargo, ND-MN",208777,22020,ND,ND,4,IN,0.07,ND,11.5,39,3
"Farmington, NM",130044,22140,ND,ND,9,36,0.069,98,IN,IN,2
"Fayetteville, NC",366383,22180,ND,ND,ND,ND,0.067,41,9.1,25,ND
"Fayetteville-Springdale-Rogers, AR-MO",463204,22220,ND,ND,ND,ND,0.072,31,IN,IN,ND
"Fergus Falls, MN",57303,22260,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fernley, NV",51980,22280,ND,ND,ND,ND,0.063,ND,ND,ND,ND
"Findlay, OH",74782,22300,ND,ND,ND,ND,ND,ND,ND,ND,18
"Flagstaff, AZ",134421,22380,ND,ND,ND,ND,0.068,ND,IN,IN,ND
"Flint, MI",425790,22420,ND,ND,ND,ND,0.072,ND,8.7,29,ND
"Florence, SC",205566,22500,ND,IN,ND,ND,0.066,ND,9.1,26,ND
"Florence-Muscle Shoals, AL",147137,22520,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fond du Lac, WI",101633,22540,ND,ND,ND,ND,0.071,ND,ND,ND,ND
"Fort Collins, CO",299630,22660,1,ND,ND,ND,0.071,ND,IN,IN,ND
"Fort Madison-Keokuk, IA-IL-MO",62105,22800,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fort Payne, AL",14101,22840,ND,ND,ND,ND,0.066,ND,8.9,21,ND
"Fort Smith, AR-OK",280467,22900,ND,ND,IN,IN,0.065,ND,8.4,20,ND
"Fort Wayne, IN",416257,23060,ND,ND,ND,ND,0.075,ND,10,33,ND
"Frankfort, KY",70706,23180,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fremont, NE",36691,23340,ND,IN,ND,ND,ND,ND,ND,ND,ND
"Fresno, CA",930450,23420,2,ND,17,51,0.082,126,12.6,40,5
"Gadsden, AL",104430,23460,ND,ND,ND,ND,0.065,ND,9.8,22,ND
"Gainesville, FL",264275,23540,ND,ND,ND,ND,0.058,ND,6.3,17,ND
"Gainesville, GA",179684,23580,ND,ND,ND,ND,ND,ND,8.9,23,ND
"Gardnerville Ranchos, NV",46997,23820,ND,ND,ND,ND,ND,ND,6.1,18,ND
"Georgetown, SC",60158,23860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Gettysburg, PA",101407,23900,1,ND,3,12,0.07,ND,10.5,36,3
"Gillette, WY",46133,23940,ND,ND,1,8,0.06,129,5.9,34,ND
"Glenwood Springs, CO",73537,24060,ND,ND,IN,IN,0.06,50,IN,IN,ND
"Goldsboro, NC",122623,24140,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Grand Forks, ND-MN",98461,24220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Grand Island, NE",81850,24260,ND,ND,ND,ND,ND,ND,7.5,23,ND
"Grand Junction, CO",146723,24300,ND,ND,ND,ND,0.061,37,4.4,10,ND
"Grand Rapids-Wyoming, MI",988938,24340,1,ND,7,34,0.074,178,10.2,36,3
"Grants Pass, OR",82713,24420,ND,ND,ND,ND,ND,ND,11.4,55,ND
"Great Falls, MT",81327,24500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Greeley, CO",252825,24540,1,ND,7,47,0.068,ND,7.7,23,ND
"Green Bay, WI",306241,24580,ND,ND,ND,ND,0.075,ND,9.5,38,ND
"Greenfield Town, MA",71372,24640,ND,ND,ND,ND,0.063,ND,7.8,29,ND
"Greensboro-High Point, NC",723801,24660,ND,ND,ND,ND,0.067,39,9.8,25,4
"Greenville, NC",168148,24780,ND,ND,ND,ND,0.063,ND,7.7,27,ND
"Greenville-Anderson-Mauldin, SC",824112,24860,ND,ND,7,IN,0.067,60,8.9,24,2
"Greenwood, SC",95078,24940,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Grenada, MS",21906,24980,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Guayama, PR",84214,25020,ND,ND,ND,ND,ND,62,IN,IN,IN
"Gulfport-Biloxi-Pascagoula, MS",370702,25060,ND,ND,4,26,0.067,ND,8.8,21,4
"Hagerstown-Martinsburg, MD-WV",251599,25180,ND,ND,ND,ND,0.071,ND,10.3,32,ND
"Hammond, LA",121097,25220,ND,ND,ND,ND,ND,ND,7.8,15,ND
"Hanford-Corcoran, CA",152982,25260,ND,ND,7,38,0.079,143,12.5,37,ND
"Harrisburg-Carlisle, PA",549475,25420,ND,ND,ND,ND,0.072,130,11.3,32,ND
"Harrison, AR",45233,25460,ND,ND,ND,ND,0.065,ND,ND,ND,ND
"Harrisonburg, VA",125228,25500,ND,ND,9,37,0.066,ND,8.3,38,2
"Hartford-West Hartford-East Hartford, CT",1212381,25540,1,ND,13,46,0.075,84,8.2,24,ND
"Hattiesburg, MS",142842,25620,ND,ND,ND,ND,ND,ND,10,23,ND
"Havre, MT",9310,25660,ND,ND,ND,ND,ND,ND,IN,42,ND
"Helena, MT",74801,25740,1,ND,ND,ND,0.061,ND,8.5,30,IN
"Helena-West Helena, AR",21757,25760,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Hermiston-Pendleton, OR",87062,25840,ND,ND,ND,ND,0.062,ND,IN,IN,ND
"Hickory-Lenoir-Morganton, NC",365497,25860,ND,ND,ND,ND,0.066,35,8.5,24,ND
"Hilo, HI",185079,25900,ND,ND,ND,ND,ND,ND,3.6,12,236
"Hilton Head Island-Bluffton-Beaufort, SC",187010,25940,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Hobbs, NM",64727,26020,ND,ND,5,33,0.074,ND,6.4,19,ND
"Holland, MI",111408,26090,ND,ND,ND,ND,0.075,ND,IN,IN,ND
"Homosassa Springs, FL",141236,26140,ND,ND,ND,ND,ND,ND,IN,IN,22
"Hot Springs, AR",96024,26300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Houma-Thibodaux, LA",208178,26380,ND,ND,ND,ND,0.064,ND,9.6,42,ND
"Houston-The Woodlands-Sugar Land, TX",5920416,26420,2,ND,18,60,0.09,161,13.1,28,13
"Huntington-Ashland, WV-KY-OH",364908,26580,ND,ND,5,29,0.065,65,8.7,29,6
"Huntsville, AL",417593,26620,ND,ND,ND,ND,0.067,61,8.6,21,ND
"Hutchinson, MN",36651,26780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Idaho Falls, ID",133265,26820,ND,ND,ND,ND,0.06,ND,IN,IN,ND
"Indiana, PA",88880,26860,ND,ND,ND,ND,0.07,ND,IN,IN,23
"Indianapolis-Carmel-Anderson, IN",1887877,26900,2,ND,13,44,0.077,147,13.7,44,3
"Ionia, MI",63905,26960,ND,0.02,ND,ND,ND,ND,ND,ND,ND
"Iowa City, IA",152586,26980,ND,ND,ND,ND,ND,ND,9.7,25,ND
"Iron Mountain, MI-WI",30591,27020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Ithaca, NY",101564,27060,ND,ND,ND,ND,0.065,ND,ND,ND,ND
"Jackson, MS",567122,27140,1,ND,ND,ND,0.068,65,9.8,25,3
"Jackson, TN",130011,27180,ND,ND,ND,ND,ND,ND,8.4,19,ND
"Jackson, WY-ID",31464,27220,0,ND,1,IN,0.06,50,2.8,10,ND
"Jacksonville, FL",1345596,27260,1,ND,10,40,0.062,55,7.9,20,40
"Jacksonville, NC",177772,27340,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Jamestown-Dunkirk-Fredonia, NY",134905,27460,ND,ND,ND,ND,0.072,ND,IN,IN,ND
"Janesville-Beloit, WI",160331,27500,ND,ND,ND,ND,0.084,ND,IN,IN,ND
"Jasper, IN",54734,27540,ND,ND,ND,ND,ND,60,8.6,23,ND
"Jefferson City, MO",149807,27620,ND,ND,ND,ND,0.071,ND,ND,ND,ND
"Johnstown, PA",143679,27780,1,ND,6,30,0.066,84,8.7,26,10
"Jonesboro, AR",121026,27860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Joplin, MO",175518,27900,ND,ND,ND,ND,0.069,120,IN,IN,ND
"Juneau, AK",31275,27940,ND,ND,ND,ND,ND,36,4.7,16,ND
